601;Rollins;Lasty;455 Schmedeman Terrace;Topeka;KS;66611;1969-05-20
602;Lucine;Andriulis;7 Menomonie Crossing;San Rafael;CA;94913;1959-04-07
603;Lira;Blasoni;94 Clyde Gallagher Court;Cincinnati;OH;45249;1988-09-20
604;Curtice;Buzza;0 Birchwood Place;Washington;DC;20299;2004-04-28
605;Robina;Arnet;73702 Lakeland Place;Santa Barbara;CA;93150;1965-07-23
606;Lillis;Rizzelli;93 Dapin Park;Tulsa;OK;74156;1968-01-01
607;Gwenette;Leidl;21 Northview Drive;Richmond;VA;23285;1988-12-20
608;Emmy;Huntley;30507 Oxford Trail;Saint Louis;MO;63121;2002-05-15
609;Jessie;Bussey;896 Porter Drive;Dallas;TX;75323;1986-10-09
610;Sampson;Juleff;7716 Caliangt Crossing;Hot Springs National Park;AR;71914;1952-12-09
611;Temp;Yanov;9213 Carioca Junction;Charlotte;NC;28247;1994-05-06
612;Calley;Penney;34103 Division Court;Springfield;IL;62705;2001-04-22
613;Marketa;O'Scanlon;78 Service Street;Nashville;TN;37235;1975-02-05
614;Emyle;MacGillivrie;00 Huxley Alley;Ventura;CA;93005;1979-10-15
615;Noak;Beardsley;0 Carpenter Place;Atlanta;GA;30386;1996-11-19
616;Sayres;Benn;9 Pepper Wood Trail;San Antonio;TX;78260;2000-01-31
617;Corine;Scutter;060 Karstens Drive;Louisville;KY;40280;1983-06-08
618;Ricca;Penhale;83308 Sunbrook Point;Fort Myers;FL;33994;1965-01-28
619;Ellis;Mainston;41 Reinke Park;Mobile;AL;36622;1990-03-12
620;Alaine;Kille;2241 Lakewood Court;Bethesda;MD;20816;2002-02-21
621;Teriann;Tripon;66 Buena Vista Park;Raleigh;NC;27621;1985-06-12
622;Jeanne;Attawell;8 Anhalt Avenue;Springfield;OH;45505;1978-12-21
623;Rabi;Hedon;43272 Burrows Hill;Columbus;OH;43220;1998-12-26
624;Berget;Loncaster;008 Barby Parkway;Florence;SC;29505;1989-05-19
625;Alis;Yurocjhin;05991 Graceland Crossing;Boston;MA;02163;1955-08-11
