801;Brewster;Futter;6 Kennedy Center;Washington;DC;20566;2000-04-16
802;Robyn;Ghiron;3003 Clyde Gallagher Lane;Cincinnati;OH;45238;2002-04-15
803;Sherry;Bowland;27322 Manufacturers Alley;Boulder;CO;80328;1959-03-31
804;Klarika;Gladyer;0418 Mcbride Point;Midland;MI;48670;1961-09-22
805;Torrin;Carlson;022 Judy Plaza;Champaign;IL;61825;1991-05-25
806;Ivar;Cornbell;68 Kensington Terrace;Fort Smith;AR;72905;1992-11-12
807;Laney;Spurrett;3 Graceland Alley;Kansas City;MO;64109;1987-04-04
808;Arch;Davitti;96860 Buhler Trail;Midland;TX;79710;1960-06-25
809;Lorrie;McLarty;2465 Lerdahl Place;Charleston;SC;29411;1970-07-12
810;Romy;Garling;7 Ohio Center;Lancaster;PA;17622;1951-01-31
811;Staffard;Tebald;33275 Fieldstone Trail;Pensacola;FL;32526;1975-07-30
812;Giordano;Loveard;503 Surrey Road;Brooklyn;NY;11210;2003-09-30
813;Hanny;Forlong;38171 Amoth Avenue;San Jose;CA;95128;1993-12-21
814;Portia;Blondelle;9400 Dakota Trail;Tulsa;OK;74156;1975-06-16
815;Odetta;Dellenbrook;0470 Golden Leaf Drive;Norfolk;VA;23520;1999-11-04
816;Grayce;Cabrer;65 Southridge Pass;Modesto;CA;95354;1966-06-16
817;Inna;Hoggins;2451 Dawn Court;Grand Forks;ND;58207;2001-07-29
818;Jade;Deniscke;5 Buena Vista Point;Detroit;MI;48275;1996-04-13
819;Ward;Ailmer;640 Sycamore Lane;Gulfport;MS;39505;1966-07-07
820;Jereme;Haresnaip;279 Becker Street;Winter Haven;FL;33884;1961-03-30
821;Janot;Pinckney;24 Evergreen Alley;Dayton;OH;45419;1990-01-24
822;Nolly;Marc;90352 Golf Avenue;Columbus;OH;43210;1977-11-01
823;Aubrie;Morilla;61709 Esch Lane;Denver;CO;80228;1956-01-31
824;Thorvald;Sedgemore;0941 Sauthoff Street;Macon;GA;31296;1989-03-09
825;Panchito;Macoun;50045 Northridge Street;San Bernardino;CA;92424;1977-11-29
826;Bianca;Dumper;66 Trailsway Hill;Charlotte;NC;28247;1963-09-26
827;Rozanne;Gladding;5 Graedel Street;Alexandria;VA;22309;1959-06-08
828;Dolf;Tubbs;3 Erie Lane;Beaverton;OR;97075;2000-10-21
829;Dennison;Lillyman;61 Pine View Plaza;Anaheim;CA;92805;1964-07-14
830;Daisey;Leggs;049 Muir Hill;New York City;NY;10019;1972-08-06
831;Dougie;Fairlem;581 Armistice Park;Canton;OH;44720;1950-06-11
832;Terri;Hendron;05221 Del Sol Park;San Jose;CA;95160;1987-07-08
833;Natty;Cariss;64 Linden Center;Topeka;KS;66667;1980-10-04
834;Orrin;Bourdas;97 Northwestern Street;Washington;DC;20041;1972-11-04
835;Othilia;Haw;3 Utah Trail;Saint Petersburg;FL;33705;1959-06-05
836;Earvin;Yellop;19133 7th Alley;Albuquerque;NM;87180;1957-08-20
837;Fred;Lightbowne;8368 West Avenue;Pomona;CA;91797;1977-05-19
