1101;Seward;Woolner;404 Golf Alley;Baton Rouge;LA;70820;1985-05-10
1102;Jillana;Badrock;2 Sunbrook Center;Duluth;GA;30096;2002-05-06
1103;Selma;Leates;70 Oriole Parkway;Seattle;WA;98158;2003-03-02
1104;Claus;Sommerling;368 Columbus Junction;Utica;NY;13505;1970-01-12
1105;Dorene;de Courcey;9 Cambridge Junction;Tallahassee;FL;32399;1960-02-02
1106;Archaimbaud;Lethbridge;64 Northview Way;Pasadena;CA;91186;1995-05-19
1107;Merrill;Grahlman;810 Lighthouse Bay Junction;Spokane;WA;99205;1971-08-24
1108;Buffy;Elkington;6261 Roxbury Way;Fort Myers;FL;33994;1977-08-08
1109;Elfreda;Chansonne;4 Pearson Parkway;Lancaster;PA;17622;1996-05-17
1110;Hunfredo;Croson;92 Clyde Gallagher Junction;Norman;OK;73071;1958-07-23
1111;Evania;Laughlin;5 Hollow Ridge Court;Ashburn;VA;22093;2002-07-22
1112;Lisha;Wilkie;7 Brentwood Street;El Paso;TX;88535;1987-03-26
1113;Ibbie;Durdy;93460 Maryland Point;El Paso;TX;88535;1970-09-13
1114;Pembroke;Whistance;4 Golf Street;New York City;NY;10039;1977-01-26
1115;Maridel;Roddan;5013 Victoria Hill;Tampa;FL;33686;2001-04-30
1116;Rikki;Barnbrook;5 Spaight Center;Spokane;WA;99252;1973-08-23
1117;Michail;Bonney;973 Kings Parkway;Canton;OH;44710;1952-02-17
1118;Gladys;Mallows;75 Loeprich Point;Gainesville;FL;32627;1978-09-04
1119;Corenda;Aristide;860 Hayes Place;El Paso;TX;79923;1954-01-29
1120;Bertine;Licari;37586 6th Junction;San Mateo;CA;94405;1988-02-23
1121;Petronilla;Longrigg;91 Welch Center;Atlanta;GA;30311;1996-07-13
1122;Elisha;Pottberry;6 Waubesa Park;Prescott;AZ;86305;1984-07-16
1123;Ebenezer;Melsome;9777 American Point;Tampa;FL;33661;1967-02-18
1124;Sully;Bertomieu;45 Anhalt Center;Sparks;NV;89436;1985-07-26
1125;Say;Minget;6206 Ramsey Junction;Lansing;MI;48919;2003-07-05
1126;Jaynell;Dewhurst;4195 Northview Junction;New Haven;CT;06520;1986-07-01
1127;Leonore;Gummoe;5 Independence Lane;Boulder;CO;80328;1977-09-18
1128;Annalise;Sisson;846 Novick Plaza;Worcester;MA;01610;1963-05-08
1129;Kin;Walcar;258 Rutledge Plaza;Austin;TX;78769;1953-05-24
1130;Pace;Comford;8 Park Meadow Drive;Lubbock;TX;79405;1955-06-24
1131;Gerianna;Savage;7364 Heath Lane;Houston;TX;77025;1994-12-29
1132;Lotta;Gisburn;00 Hagan Way;West Palm Beach;FL;33416;1975-12-09
1133;Dwayne;Duffil;8 Gulseth Junction;Silver Spring;MD;20910;1986-03-25
1134;Davidde;O'Howbane;4 Mayer Court;Silver Spring;MD;20904;1982-11-23
1135;Roseanne;Rushe;89 Beilfuss Trail;Columbia;SC;29220;1990-10-26
1136;Genevra;Virgoe;7026 Kings Avenue;Topeka;KS;66642;1974-09-12
1137;Jeanie;Hynd;8440 Nova Park;Dayton;OH;45490;1984-02-17
1138;Hubey;Bathersby;519 Dennis Park;Annapolis;MD;21405;1950-02-04
1139;Thaxter;Portriss;29 Mcbride Plaza;Levittown;PA;19058;1985-04-06
1140;Verile;Dregan;199 Granby Circle;San Diego;CA;92160;1975-03-26
1141;Sarena;Gronous;60 Dorton Court;Minneapolis;MN;55417;1984-12-11
1142;Padget;Destouche;8188 Johnson Park;Port Washington;NY;11054;1959-07-28
1143;Briggs;Daenen;6 Namekagon Parkway;New York City;NY;10160;1993-08-27
1144;Karon;Beveredge;15413 Debs Plaza;Colorado Springs;CO;80995;1991-02-18
1145;Justino;Yorkston;9480 Surrey Park;Houston;TX;77040;1953-09-14
1146;Alice;Bounds;19529 Hovde Crossing;Dallas;TX;75210;1967-09-12
1147;Drew;Tease;323 Crowley Terrace;Boulder;CO;80328;1993-03-19
1148;Hermione;Clarabut;2977 Green Ridge Junction;Bethesda;MD;20816;1957-06-27
1149;Garvey;Tedman;94248 Lien Way;Phoenix;AZ;85015;1959-10-11
1150;Pacorro;Smurfitt;90966 Florence Plaza;Palmdale;CA;93591;1991-06-12
1151;Jaquelin;Cuerda;54538 Buena Vista Point;El Paso;TX;88569;1985-10-28
1152;Patrizia;Lanbertoni;5647 Mcguire Point;Pensacola;FL;32575;1977-11-25
1153;Eirena;Gerard;420 Lillian Avenue;Oklahoma City;OK;73119;2000-01-15
1154;Janeczka;Harrowsmith;9 Vermont Junction;Petaluma;CA;94975;1972-03-26
1155;Oralia;Heintzsch;64 Melody Junction;Waco;TX;76711;1964-12-21
1156;Masha;Noone;4 Barnett Street;Indianapolis;IN;46231;1980-08-10
1157;Delphinia;Bulch;6 6th Alley;New York City;NY;10099;1962-06-15
1158;My;Standidge;9531 Ruskin Court;El Paso;TX;88519;1966-05-05
