901;Kippy;Skittrell;2 Erie Pass;Peoria;IL;61651;1957-06-21
902;Timothy;Adnams;7806 Coleman Park;Fort Pierce;FL;34949;2005-01-15
903;Jesus;Bernardotte;65856 Homewood Parkway;Hartford;CT;06145;1954-04-22
904;Aggi;Castagnaro;40739 Arrowood Place;Jacksonville;FL;32230;1989-05-31
905;Lockwood;Janway;086 Dexter Lane;Champaign;IL;61825;1974-08-13
906;Reamonn;Pitchford;656 Westerfield Parkway;Kansas City;MO;64193;2004-11-30
907;Sky;Crumby;1 Del Sol Circle;Dallas;TX;75251;2004-02-11
908;Tybi;Perchard;983 Harbort Alley;Dallas;TX;75265;1958-08-17
909;Wallace;Inchbald;8876 Hanson Court;Alexandria;VA;22309;1988-04-02
910;Loren;Gilhoolie;7 Pawling Hill;New York City;NY;10034;1953-08-19
911;Gherardo;O'Hannay;602 Arrowood Way;Hartford;CT;06183;1993-08-30
912;Elisabeth;Dampney;54579 Sycamore Road;Littleton;CO;80161;1982-04-13
913;Dore;Melloi;1 South Way;Lafayette;LA;70505;1983-04-16
914;Dora;Storrah;8 Dunning Plaza;Fort Wayne;IN;46825;1952-10-01
915;Clayborne;Thorndale;61579 Schmedeman Parkway;Raleigh;NC;27635;1953-02-26
916;Carney;Phear;5006 Victoria Park;Atlanta;GA;31190;1982-03-17
917;Salome;Antonioni;3 Gateway Avenue;Saint Louis;MO;63143;1989-08-18
918;Karita;Orthmann;357 Beilfuss Street;Macon;GA;31296;1973-12-08
919;Tildie;Aujouanet;7 Thierer Place;Denver;CO;80228;1989-08-07
920;Jackqueline;Sabathier;6 Bunker Hill Parkway;Los Angeles;CA;90094;1952-04-26
921;Bernhard;Upward;95143 Iowa Lane;Vancouver;WA;98687;2000-10-06
922;Fred;McPike;77021 Dapin Place;Syracuse;NY;13205;1993-11-18
923;Miran;Lawtey;6146 Bultman Center;Shawnee Mission;KS;66276;1950-08-12
924;Katlin;Whittaker;714 Rutledge Crossing;Boca Raton;FL;33432;1976-07-04
925;Merilee;Shirland;0 Menomonie Way;Atlanta;GA;30336;1972-09-22
926;Eve;Claxton;91849 Beilfuss Alley;Evansville;IN;47712;1953-01-01
927;Read;Howship;02369 Logan Junction;Erie;PA;16505;1959-03-02
928;Avictor;Raysdale;07 Village Green Park;Harrisburg;PA;17105;1981-04-24
929;Gertruda;Folomin;3 Loeprich Parkway;Tampa;FL;33633;1995-05-14
930;Dagny;Toyer;584 Doe Crossing Road;Hartford;CT;06145;1956-01-03
931;Elberta;Rubinov;45 Meadow Ridge Center;Providence;RI;02905;2004-07-14
932;Bill;Pheasey;9660 Green Court;Nashville;TN;37250;1975-04-30
933;Johnathon;Clyde;5 Hayes Terrace;Roanoke;VA;24040;1998-03-31
934;Kayla;Jindrak;46095 Fremont Place;Bozeman;MT;59771;2002-03-13
935;Barbi;Disley;05692 Huxley Center;Roanoke;VA;24009;1973-12-25
936;Debby;Hailwood;98 Grasskamp Road;Wilkes Barre;PA;18768;1998-11-18
937;Alon;Jirick;71 Sommers Lane;Billings;MT;59112;1975-07-29
938;Nelly;Fogarty;28162 Veith Court;Torrance;CA;90505;1971-10-16
939;Chrysler;Ewings;802 Annamark Trail;Greensboro;NC;27409;1977-07-15
940;Seline;Elderbrant;706 Reindahl Circle;Shawnee Mission;KS;66220;1980-04-13
941;Thomasina;Lillywhite;3 Gale Hill;Spokane;WA;99215;1965-08-07
942;Kiele;Jerok;3 Comanche Road;Sterling;VA;20167;1986-01-06
943;Torry;Milkin;64180 Bowman Trail;Charleston;SC;29411;1951-03-08
944;Patten;Esome;33575 Laurel Lane;El Paso;TX;88558;2004-12-04
945;Yasmin;Bende;17 Macpherson Road;Philadelphia;PA;19160;1974-02-22
946;Eberto;Bradbury;818 Riverside Park;Saint Louis;MO;63196;1960-09-10
947;Arlen;Tomasini;73 Beilfuss Circle;Cleveland;OH;44111;1978-02-25
948;Kennan;Meach;542 Maple Wood Pass;Hampton;VA;23663;1955-05-03
949;Marley;Kamen;7 Corscot Crossing;Dallas;TX;75310;1996-05-03
950;Boony;Rohlf;8308 Buell Avenue;Eugene;OR;97405;1950-12-05
951;Cherish;Limbourne;266 Brown Avenue;Melbourne;FL;32919;1987-04-26
952;Denver;Windham;23413 Doe Crossing Hill;Knoxville;TN;37931;2000-09-22
953;Christalle;Freemantle;3580 Granby Parkway;Pasadena;CA;91103;1983-07-25
954;Tandi;Alanbrooke;60 Kinsman Circle;Des Moines;IA;50320;2002-05-29
955;Elyssa;Cudmore;268 5th Drive;San Bernardino;CA;92405;1997-02-15
956;Ardis;Glanister;16394 Veith Hill;Memphis;TN;38188;1951-06-12
